ASSET_ID,TAKEN_ON,BEARING_CONDITION,SIMPLE_MISALIGNMENT,SKIN_TEMPERATURE,SPEED,OUTPUT_POWER,VIBRATION_AXIAL,VIBRATION_RADIAL,VIBRATION_TANGENTIAL
3743,11/20/2018 2:35:03 PM,1.0000,,18.5087,1485.2923,341.4925,0.0000,0.0383,0.0383
3743,11/10/2018 11:34:06 PM,0.0000,1.0000,23.9571,1492.3771,170.7463,0.4982,0.3449,0.4215
3743,11/24/2018 3:34:26 AM,1.0000,1.0000,22.4878,1500.4412,13.1343,0.6514,0.4598,0.4598
3743,11/7/2018 11:01:57 PM,,,,,,,,
3743,11/18/2018 9:34:50 AM,0.0000,0.0000,18.9163,1492.2234,183.8806,0.0000,0.0000,0.0383
3743,11/23/2018 11:34:25 PM,0.0000,1.0000,23.2385,1492.2533,174.0299,0.7281,0.3449,0.4215
3743,11/12/2018 6:01:37 PM,,,,,,,,
3743,11/24/2018 4:34:26 AM,0.0000,1.0000,22.3054,1497.9719,36.1194,0.5365,0.3066,0.4215
3743,11/18/2018 2:34:51 PM,1.0000,0.0000,18.7983,1493.3377,137.9104,0.0000,0.0383,0.0383
3743,11/11/2018 1:34:07 AM,1.0000,1.0000,23.4637,1499.7224,19.7015,0.4982,0.3832,0.3449
3743,11/11/2018 12:34:09 PM,0.0000,,24.1716,1500.5895,9.8507,0.6131,0.4215,0.4215
3743,11/15/2018 2:02:20 PM,,,,,,,,
3743,11/14/2018 1:34:27 PM,1.0000,1.0000,24.2574,1498.9722,26.2687,0.5365,0.4215,0.3832
3743,11/22/2018 12:35:12 AM,0.0000,,18.5516,1492.3732,183.8806,0.0000,0.0383,0.0383
3743,11/10/2018 10:34:03 AM,0.0000,,23.6032,1500.0111,9.8507,0.5365,0.4215,0.3449
3743,11/9/2018 12:02:10 AM,,,,,,,,
3743,11/16/2018 2:34:40 PM,0.0000,0.0000,24.1501,1492.4071,164.1791,0.0383,0.0383,0.0383
3743,11/22/2018 8:01:42 PM,,,,,,,,
3743,11/9/2018 3:33:58 PM,1.0000,,23.6461,1494.5473,141.1940,0.4982,0.4598,0.3449
3743,11/17/2018 4:01:34 AM,,,,,,,,
3743,11/23/2018 2:34:20 AM,0.0000,0.0000,31.9366,1495.4170,121.4925,0.0000,0.0383,0.0383
3743,11/7/2018 8:01:35 AM,,,,,,,,
3743,11/18/2018 5:34:52 PM,0.0000,,18.8090,1492.6210,160.8955,0.0000,0.0383,0.0383
3743,11/8/2018 9:01:57 PM,,,,,,,,
3743,11/14/2018 2:34:28 PM,1.0000,,24.2681,1499.1594,6.5672,0.4982,0.4598,0.4598
3743,11/11/2018 4:34:07 AM,0.0000,1.0000,23.2171,1500.8205,9.8507,0.4982,0.3832,0.3832
3743,11/14/2018 12:34:24 AM,0.0000,,24.0429,1498.6368,13.1343,0.6131,0.4215,0.4215
3743,11/8/2018 11:02:02 AM,,,,,,,,
3743,11/19/2018 8:02:02 PM,,,,,,,,
3743,11/11/2018 3:34:10 PM,1.0000,,24.3432,1499.2667,6.5672,0.5365,0.3832,0.4598
3743,11/10/2018 2:34:04 PM,1.0000,1.0000,23.7748,1493.6982,147.7612,0.5365,0.3832,0.3832
3743,11/22/2018 12:02:06 PM,,,,,,,,
3743,11/11/2018 1:02:09 AM,,,,,,,,
3743,11/14/2018 1:34:27 PM,1.0000,1.0000,24.2574,1498.9722,26.2687,0.5365,0.4215,0.3832
3743,11/14/2018 3:34:25 AM,0.0000,,23.5174,1499.9161,22.9851,0.4215,0.3832,0.4982
3743,11/7/2018 12:33:43 AM,0.0000,,23.4745,1500.0811,3.2836,0.4598,0.3449,0.3832
3743,11/15/2018 5:34:31 AM,0.0000,1.0000,23.6997,1493.3422,141.1940,0.5748,0.4598,0.3832
3743,11/22/2018 11:35:14 AM,0.0000,,18.4551,1491.1794,213.4328,0.0000,0.0383,0.0383
3743,11/15/2018 4:34:31 AM,0.0000,,23.8284,1492.6964,141.1940,0.4982,0.3832,0.4215
3743,11/9/2018 11:01:48 PM,,,,,,,,
3743,11/11/2018 5:02:41 PM,,,,,,,,
3743,11/17/2018 3:01:36 PM,,,,,,,,
3743,11/11/2018 10:01:24 AM,,,,,,,,
3743,11/12/2018 5:34:17 PM,1.0000,,24.4183,1492.9330,144.4776,0.6131,0.3832,0.4598
3743,11/8/2018 8:33:54 PM,0.0000,,24.5684,1491.6238,183.8806,0.9197,0.3832,0.3832
3743,11/23/2018 10:34:25 PM,1.0000,1.0000,23.5066,1492.1278,160.8955,0.7281,0.4215,0.3832
3743,11/15/2018 11:34:33 AM,1.0000,1.0000,24.5470,1500.1174,3.2836,0.5748,0.5365,0.4215
3743,11/20/2018 1:35:03 PM,1.0000,,18.5838,1492.6212,167.4627,0.0000,0.0383,0.0383
3743,11/16/2018 1:01:46 AM,,,,,,,,
3743,11/7/2018 5:33:47 PM,0.0000,,23.1313,1494.5891,141.1940,0.4982,0.3832,0.3066
3743,11/21/2018 6:35:07 AM,0.0000,,18.2835,1491.3335,197.0149,0.0000,0.0383,0.0383
3743,11/9/2018 6:01:53 PM,,,,,,,,
3743,11/8/2018 12:33:52 PM,1.0000,,22.9489,1500.2773,16.4179,0.5748,0.3832,0.4598
3743,11/11/2018 4:01:26 PM,,,,,,,,
3743,11/17/2018 1:01:28 AM,,,,,,,,
3743,11/20/2018 4:35:04 PM,0.0000,,18.4980,1491.4433,167.4627,0.0000,0.0383,0.0383
3743,11/20/2018 7:35:05 PM,0.0000,,18.4980,1490.3966,210.1493,0.0000,0.0000,0.0383
3743,11/23/2018 7:34:21 AM,1.0000,1.0000,20.3427,1499.9694,26.2687,0.4598,0.4215,0.3066
3743,11/6/2018 5:33:41 PM,1.0000,,24.1180,1498.8509,6.5672,0.5365,0.3832,0.4215
3743,11/18/2018 6:02:00 PM,,,,,,,,
3743,11/23/2018 5:01:43 PM,,,,,,,,
3743,11/19/2018 4:02:06 AM,,,,,,,,
3743,11/17/2018 1:01:28 AM,,,,,,,,
3743,11/18/2018 7:01:39 PM,,,,,,,,
3743,11/19/2018 7:34:59 PM,0.0000,,18.6589,1491.9784,160.8955,0.0000,0.0383,0.0383
3743,11/10/2018 10:34:06 PM,1.0000,1.0000,24.0536,1492.6852,144.4776,0.4982,0.3832,0.4215
3743,11/23/2018 2:34:23 PM,1.0000,1.0000,23.0669,1499.3623,19.7015,0.6898,0.4598,0.4215
3743,11/10/2018 8:02:52 PM,,,,,,,,
3743,11/11/2018 1:34:07 AM,1.0000,1.0000,23.4637,1499.7224,19.7015,0.4982,0.3832,0.3449
3743,11/15/2018 1:34:33 PM,0.0000,1.0000,24.7722,1498.4834,29.5522,0.5365,0.4982,0.4215
3743,11/9/2018 11:34:00 PM,1.0000,,24.1823,1499.8853,0.0000,0.5748,0.3832,0.3832
3743,11/9/2018 9:33:57 AM,1.0000,,23.5281,1491.1459,180.5970,0.6131,0.3449,0.3832
3743,11/10/2018 11:02:08 AM,,,,,,,,
3743,11/14/2018 11:02:00 PM,,,,,,,,
3743,11/21/2018 1:35:06 AM,1.0000,,18.5087,1492.6025,167.4627,0.0000,0.0000,0.0383
3743,11/16/2018 9:34:38 AM,0.0000,0.0000,26.3381,1490.3914,233.1343,0.0000,0.0383,0.0383
3743,11/22/2018 3:01:29 AM,,,,,,,,
